Destination;Country;Cost_of_Living_Index;Rent_Index;Cost_of_Living_Plus_Rent_Index;Groceries_Index;Restaurant_Price_Index;Local_Purchasing_Power_Index;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_level;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;Popularity_TripAdvisor_Count
Warsaw;Poland;43.7;18.4;32.7;38.6;42.2;100.4;0.833;76.769;23114.80953;2.6;28.7;71.3;2.472;High;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;150.0;45;125;374;Polish;69649;69649
Lesser Poland;Poland;43.7;18.4;32.7;38.6;42.2;100.4;0.833;76.769;23114.80953;2.6;28.7;71.3;2.472;High;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;300.0;33;82;206;Polish;149852;149852
Azores;Portugal;45.8;25.1;36.8;44.7;40.5;65.3;0.88;78.341;36792.98874;5.9;32.4;67.6;6.384;Very High;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;;82;185;354;Portuguese;24083;24083
Madeira;Portugal;45.8;25.1;36.8;44.7;40.5;65.3;0.88;78.341;36792.98874;5.9;32.4;67.6;6.384;Very High;cool;cool;cool;comfortable;comfortable;comfortable;warm;warm;comfortable;comfortable;cool;cool;;56;133;285;Portuguese;74532;74532
Porto;Portugal;45.8;25.1;36.8;44.7;40.5;65.3;0.88;78.341;36792.98874;5.9;32.4;67.6;6.384;Very High;cool;cool;cool;comfortable;comfortable;warm;warm;warm;comfortable;comfortable;cool;cool;2300.0;77;184;445;Portuguese;135142;135142
Lisbon;Portugal;45.8;25.1;36.8;44.7;40.5;65.3;0.88;78.341;36792.98874;5.9;32.4;67.6;6.384;Very High;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;2500.0;84;192;447;Portuguese;321760;321760
Romania;Romania;38.3;11.3;26.6;37.4;39.7;79.9;0.931;81.603;46360.80779;4.6;32.6;67.4;5.379;High;very cold;cold;cool;cool;comfortable;warm;hot;warm;warm;cool;cold;very cold;1100.0;53;121;283;Romanian;56591;56591
Serbia;Serbia;40.9;13.8;29.1;38.1;39.8;63.8;0.918;83.67;46008.44221;2.2;37.2;62.8;7.39;High;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;1050.0;30;92;203;Serbian;30148;30148
Bratislava;Slovakia;46.7;15.9;33.3;47.9;38.0;81.3;0.959;83.262;66102.08595;2.5;31.0;69.0;5.234;High;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;550.0;78;176;377;Slovak;41747;41747
Slovenia;Slovenia;50.6;20.6;37.6;49.5;46.5;90.0;0.97;83.954;81948.90177;3.3;24.4;75.6;3.357;Unknown;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;900.0;53;125;263;Slovenian;74814;74814
Madrid;Spain;48.6;23.5;37.7;47.9;48.9;107.2;0.853;77.156;34506.98065;2.5;37.2;62.8;11.394;Moderate;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;2300.0;73;186;481;Spanish;348324;348324
Barcelona;Spain;48.6;23.5;37.7;47.9;48.9;107.2;0.853;77.156;34506.98065;2.5;37.2;62.8;11.394;Moderate;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;1900.0;82;213;574;Spanish;685314;685314
Andalusia;Spain;48.6;23.5;37.7;47.9;48.9;107.2;0.853;77.156;34506.98065;2.5;37.2;62.8;11.394;Moderate;cool;cool;comfortable;warm;warm;hot;sweltering;sweltering;hot;warm;cool;cool;2900.0;64;174;523;Spanish;253566;253566
Basque Country;Spain;48.6;23.5;37.7;47.9;48.9;107.2;0.853;77.156;34506.98065;2.5;37.2;62.8;11.394;Moderate;cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;comfortable;cool;cold;2000.0;82;193;404;Spanish;82187;82187
Canary Islands;Spain;48.6;23.5;37.7;47.9;48.9;107.2;0.853;77.156;34506.98065;2.5;37.2;62.8;11.394;Moderate;comfortable;comfortable;comfortable;comfortable;warm;warm;warm;warm;warm;comfortable;comfortable;comfortable;;75;172;329;Spanish;165030;165030
Balearic Islands;Spain;48.6;23.5;37.7;47.9;48.9;107.2;0.853;77.156;34506.98065;2.5;37.2;62.8;11.394;Moderate;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;180;396;771;Spanish;113408;113408
Stockholm;Sweden;62.8;21.8;44.9;63.5;62.6;141.1;0.946;81.302;54371.58634;1.3;48.1;51.9;8.528;Very High;cold;very cold;cold;cool;cool;comfortable;comfortable;comfortable;cool;cool;cold;very cold;1100.0;91;222;516;Swedish;128505;128505
Zurich;Switzerland;106.8;50.6;82.3;111.9;100.3;177.8;0.913;84.041;64631.0749;75.45;26.7;73.3;4.11;High;very cold;cold;cool;cool;comfortable;comfortable;warm;warm;comfortable;cool;cool;very cold;1100.0;153;354;787;German;40270;40270
Lucerne & Central Switzerland;Switzerland;106.8;50.6;82.3;111.9;100.3;177.8;0.913;84.041;64631.0749;75.45;26.7;73.3;4.11;High;very cold;cold;cool;cool;comfortable;comfortable;warm;warm;comfortable;cool;cool;very cold;1100.0;122;293;652;German;44893;44893
Bernese Alps;Switzerland;106.8;50.6;82.3;111.9;100.3;177.8;0.913;84.041;64631.0749;75.45;26.7;73.3;4.11;High;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1200.0;135;309;604;German;20075;20075
Geneva;Switzerland;106.8;50.6;82.3;111.9;100.3;177.8;0.913;84.041;64631.0749;75.45;26.7;73.3;4.11;High;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;1400.0;118;280;606;French;34717;34717
Swiss Alps & Graubünden;Switzerland;106.8;50.6;82.3;111.9;100.3;177.8;0.913;84.041;64631.0749;75.45;26.7;73.3;4.11;High;freezing;very cold;cold;cool;cool;cool;cool;cool;cool;cold;very cold;freezing;1150.0;131;300;572;French;41220;41220
Istanbul;Turkey;38.2;14.6;27.9;38.2;34.7;58.8;0.938;83.63;166811.6741;2.0;41.4;58.6;8.449;Low;cold;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cold;1800.0;77;189;441;Turkish;264190;264190
London;United Kingdom;64.2;32.9;50.6;59.3;67.0;127.4;;86.372;;5.3;48.4;51.6;4.111;Very High;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1500.0;110;294;836;English;764486;764486
Manchester;United Kingdom;64.2;32.9;50.6;59.3;67.0;127.4;;86.372;;5.3;48.4;51.6;4.111;Very High;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1600.0;121;303;753;English;82634;82634
Liverpool;United Kingdom;64.2;32.9;50.6;59.3;67.0;127.4;;86.372;;5.3;48.4;51.6;4.111;Very High;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;cool;cool;cool;cold;1650.0;118;276;588;English;113218;113218
West Midlands;United Kingdom;64.2;32.9;50.6;59.3;67.0;127.4;;86.372;;5.3;48.4;51.6;4.111;Very High;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1550.0;94;217;444;English;66553;66553
Cornwall;United Kingdom;64.2;32.9;50.6;59.3;67.0;127.4;;86.372;;5.3;48.4;51.6;4.111;Very High;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;cool;cool;cool;cold;1900.0;95;241;623;English;88047;88047
Northern Ireland;United Kingdom;64.2;32.9;50.6;59.3;67.0;127.4;;86.372;;5.3;48.4;51.6;4.111;Very High;cold;cold;cool;cool;cool;cool;cool;cool;cool;cool;cold;cold;;93;221;498;English;89858;89858
